day,timestr,a,b,c,d,e,f
1,09:30:00,325.45,13.795,94.5,49.985,49.93,17.025
1,09:31:00,325.245,13.89,94.515,49.99,49.96,17.025
1,09:32:00,325.58,13.905,94.565,49.995,49.96,17.025
1,09:33:00,325.47,13.955,94.645,50.065,49.92,17.025
1,09:34:00,325.295,13.975,94.58,50.03,49.9,17.025
1,09:35:00,325.4,13.895,94.585,50.055,49.99,17.025
1,09:36:00,325.545,13.935,94.545,50.055,49.97,17.025
1,09:37:00,325.59,13.945,94.56,50.04,50.0,17.025
1,09:38:00,325.965,13.985,94.605,50.095,49.97,17.025
1,09:39:00,326.225,14.055,94.575,50.06,49.95,17.025
1,09:40:00,326.51,14.085,94.605,50.085,49.93,17.025
1,09:41:00,326.725,13.995,94.62,50.125,49.93,17.025
1,09:42:00,327.005,13.975,94.595,50.115,49.88,17.025
1,09:43:00,327.23,13.985,94.65,50.18,49.87,17.025
1,09:44:00,326.98,14.075,94.58,50.19,49.81,17.025
1,09:45:00,327.24,13.965,94.6,50.185,49.81,17.025
1,09:46:00,327.505,13.935,94.67,50.23,49.81,17.025
1,09:47:00,327.545,14.015,94.68,50.235,49.78,17.025
1,09:48:00,327.645,13.905,94.65,50.235,49.81,17.025
1,09:49:00,327.765,13.905,94.665,50.245,49.89,17.025
1,09:50:00,327.805,13.925,94.635,50.235,49.9,17.025
1,09:51:00,327.71,13.985,94.68,50.245,49.92,17.025
1,09:52:00,327.485,13.885,94.67,50.265,49.98,17.025
1,09:53:00,327.19,13.875,94.655,50.265,49.97,17.025
1,09:54:00,327.27,13.875,94.58,50.285,49.97,17.025
1,09:55:00,327.38,13.975,94.65,50.26,49.94,17.025
1,09:56:00,327.64,13.915,94.605,50.195,49.94,17.025
1,09:57:00,327.655,13.895,94.645,50.265,49.95,17.025
1,09:58:00,327.7,13.985,94.615,50.265,49.92,17.025
1,09:59:00,327.43,13.875,94.635,50.275,49.98,17.025
1,10:00:00,327.44,13.975,94.605,50.22,49.95,17.025
1,10:01:00,327.43,13.87,94.58,50.17,49.96,17.025
1,10:02:00,327.415,13.985,94.595,50.205,49.89,17.025
1,10:03:00,327.545,13.985,94.565,50.195,49.89,17.025
1,10:04:00,327.58,13.985,94.47,50.175,49.85,17.025
1,10:05:00,327.81,14.005,94.46,50.225,49.82,17.025
1,10:06:00,327.835,13.995,94.525,50.245,49.83,17.025
1,10:07:00,327.87,13.895,94.505,50.265,49.86,17.025
1,10:08:00,328.16,13.905,94.555,50.265,49.87,17.025
1,10:09:00,328.165,14.005,94.5,50.245,49.88,17.025
1,10:10:00,328.27,14.005,94.52,50.255,49.8,17.025
1,10:11:00,328.4,13.905,94.495,50.255,49.79,17.025
1,10:12:00,328.58,14.005,94.475,50.295,49.85,17.025
1,10:13:00,328.56,13.905,94.45,50.285,49.8,17.025
1,10:14:00,328.56,13.995,94.495,50.285,49.83,17.025
1,10:15:00,328.58,13.895,94.55,50.265,49.84,17.025
1,10:16:00,328.77,14.005,94.62,50.28,49.79,17.025
